"station"	"date"	"layer"	"no23f..Data.values"	"no23f..Data.value2"	"no23f.remark.codes"	"no23f.value.codes"	"no23f.reporting.level"	"no23f.reporting.method"	"no23f.reporting.units"	"no23f.analyte.method"	"no23f.analyte.name"	"no23f.unique.code"
"CB3.3C"	1989-09-27	"B"	 0.31250	 0.31250	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-09-27	"S"	 0.44100	 0.44100	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-10-10	"B"	 0.24600	 0.24600	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-10-10	"S"	 0.35700	 0.35700	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-10-24	"B"	 0.21100	 0.21100	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-10-24	"S"	 0.49600	 0.49600	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-11-14	"B"	 0.17100	 0.17100	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-11-14	"S"	 0.43200	 0.43200	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-12-12	"B"	 0.27500	 0.27500	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-12-12	"S"	 0.72400	 0.72400	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-01-09	"B"	 0.13400	 0.13400	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-01-09	"S"	 0.49300	 0.49300	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-02-07	"B"	 0.19550	 0.19550	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-02-07	"S"	 1.26000	 1.26000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-03-06	"B"	 0.39650	 0.39650	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-03-06	"S"	 0.98000	 0.98000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-03-21	"B"	 0.07650	 0.07650	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-03-21	"S"	 0.97200	 0.97200	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-04-03	"B"	 0.21000	 0.21000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-04-03	"S"	 1.10000	 1.10000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-04-17	"B"	 0.17600	 0.17600	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-04-17	"S"	 0.92300	 0.92300	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-05-15	"B"	 0.15900	 0.15900	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-05-15	"S"	 0.66500	 0.66500	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-05-30	"B"	 0.02960	 0.02960	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-05-30	"S"	 0.63700	 0.63700	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-06-12	"B"	 0.08250	 0.08250	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-06-12	"S"	 0.50600	 0.50600	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-06-26	"B"	 0.09400	 0.09400	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-06-26	"S"	 0.39100	 0.39100	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-07-17	"B"	 0.00640	 0.00640	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-07-17	"S"	 0.27400	 0.27400	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-07-31	"B"	 0.00930	 0.00930	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-07-31	"S"	 0.20400	 0.20400	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-08-14	"B"	 0.00880	 0.00880	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-08-14	"S"	 0.09700	 0.09700	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-08-28	"B"	 0.00390	 0.00390	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-08-28	"S"	 0.17500	 0.17500	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-09-11	"B"	 0.00135	 0.00135	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-09-11	"S"	 0.00510	 0.00510	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-09-25	"B"	 0.04835	 0.04835	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-09-25	"S"	 0.12700	 0.12700	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-10-16	"B"	 0.04860	 0.04860	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-10-16	"S"	 0.28500	 0.28500	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-10-30	"B"	 0.13000	 0.13000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-10-30	"S"	 0.76500	 0.76500	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-11-13	"B"	 0.07100	 0.07100	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-11-13	"S"	 0.61300	 0.61300	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-12-11	"B"	 0.17000	 0.17000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-12-11	"S"	 0.92000	 0.92000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-01-08	"B"	 0.25300	 0.25300	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-01-08	"S"	 0.69000	 0.69000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-02-12	"B"	 0.31450	 0.31450	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-02-12	"S"	 1.23000	 1.23000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-03-13	"B"	 0.26050	 0.26050	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-03-13	"S"	 0.95000	 0.95000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-03-26	"B"	 0.32250	 0.32250	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-03-26	"S"	 0.85000	 0.85000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-04-09	"B"	 0.31050	 0.31050	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-04-09	"S"	 0.86000	 0.86000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-04-23	"B"	 0.28800	 0.28800	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-04-23	"S"	 0.87000	 0.87000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-05-07	"B"	 0.21350	 0.21350	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-05-07	"S"	 0.68500	 0.68500	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-05-21	"B"	 0.09800	 0.09800	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-05-21	"S"	 0.39200	 0.39200	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-06-06	"B"	 0.13150	 0.13150	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-06-06	"S"	 0.20900	 0.20900	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-06-18	"B"	 0.01835	 0.01835	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-06-18	"S"	 0.08200	 0.08200	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-07-09	"B"	 0.00510	 0.00510	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-07-09	"S"	 0.00870	 0.00870	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-07-23	"B"	 0.00340	 0.00340	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-07-23	"S"	 0.00180	 0.00180	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-08-06	"B"	 0.00225	 0.00225	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-08-06	"S"	 0.00210	 0.00210	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-08-21	"B"	 0.03065	 0.03065	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-08-21	"S"	 0.05350	 0.05350	" "	""	NA	""	""	""	""	""
