"station"	"date"	"layer"	"tp..Data.values"	"tp..Data.value2"	"tp.remark.codes"	"tp.value.codes"	"tp.reporting.level"	"tp.reporting.method"	"tp.reporting.units"	"tp.analyte.method"	"tp.analyte.name"	"tp.unique.code"
"CB3.3C"	1990-02-07	"B"	0.06750	0.06750	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-02-07	"S"	0.03930	0.03930	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-03-06	"B"	0.04435	0.04435	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-03-06	"S"	0.03820	0.03820	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-03-21	"B"	0.05620	0.05620	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-03-21	"S"	0.04680	0.04680	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-04-03	"B"	0.09330	0.09330	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-04-03	"S"	0.04080	0.04080	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-04-17	"B"	0.07910	0.07910	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-04-17	"S"	0.03170	0.03170	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-05-15	"B"	0.02060	0.02060	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-05-15	"S"	0.02640	0.02640	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-05-30	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-05-30	"S"	0.03140	0.03140	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-06-12	"B"	0.02685	0.02685	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-06-12	"S"	0.03970	0.03970	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-06-26	"B"	0.03575	0.03575	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-06-26	"S"	0.03250	0.03250	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-07-17	"B"	0.07270	0.07270	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-07-17	"S"	0.04230	0.04230	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-07-31	"B"	0.06580	0.06580	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-07-31	"S"	0.05710	0.05710	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-08-14	"B"	0.07345	0.07345	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-08-14	"S"	0.06880	0.06880	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-08-28	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-08-28	"S"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-09-11	"B"	0.09965	0.09965	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-09-11	"S"	0.07590	0.07590	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-09-25	"B"	0.06885	0.06885	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-09-25	"S"	0.05760	0.05760	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-10-16	"B"	0.05035	0.05035	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-10-16	"S"	0.04290	0.04290	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-10-30	"B"	0.04320	0.04320	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-10-30	"S"	0.05040	0.05040	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-11-13	"B"	0.05090	0.05090	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-11-13	"S"	0.03920	0.03920	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-12-11	"B"	0.10285	0.10285	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-12-11	"S"	0.03800	0.03800	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-01-08	"B"	0.03825	0.03825	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-01-08	"S"	0.02530	0.02530	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-02-12	"B"	0.04920	0.04920	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-02-12	"S"	0.02640	0.02640	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-03-13	"B"	0.08690	0.08690	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-03-13	"S"	0.03460	0.03460	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-03-26	"B"	0.03865	0.03865	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-03-26	"S"	0.03430	0.03430	" "	""	NA	""	""	""	""	""
