"station"	"date"	"layer"	"pn..Data.values"	"pn..Data.value2"	"pn.remark.codes"	"pn.value.codes"	"pn.reporting.level"	"pn.reporting.method"	"pn.reporting.units"	"pn.analyte.method"	"pn.analyte.name"	"pn.unique.code"
"CB3.3C"	1991-06-18	"B"	 0.08115	 0.08115	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-06-18	"S"	 0.19200	 0.19200	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-07-09	"B"	 0.16300	 0.16300	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-07-09	"S"	 0.40000	 0.40000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-07-23	"B"	 0.10300	 0.10300	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-07-23	"S"	 0.43600	 0.43600	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-08-06	"B"	 0.12400	 0.12400	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-08-06	"S"	 0.30700	 0.30700	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-08-21	"B"	 0.10800	 0.10800	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-08-21	"S"	 0.70400	 0.70400	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-09-04	"B"	 0.14950	 0.14950	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-09-04	"S"	 0.28200	 0.28200	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-09-17	"B"	 0.09980	 0.09980	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-09-17	"S"	 0.40700	 0.40700	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-10-02	"B"	 0.13000	 0.13000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-10-02	"S"	 0.30500	 0.30500	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-10-15	"B"	 0.14750	 0.14750	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-10-15	"S"	 0.16000	 0.16000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-11-05	"B"	 0.09450	 0.09450	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-11-05	"S"	 0.09650	 0.09650	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-12-03	"B"	 0.09455	 0.09455	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-12-03	"S"	 0.17500	 0.17500	" "	""	NA	""	""	""	""	""
"CB3.3C"	1992-01-07	"B"	 0.14250	 0.14250	" "	""	NA	""	""	""	""	""
"CB3.3C"	1992-01-07	"S"	 0.29300	 0.29300	" "	""	NA	""	""	""	""	""
