"station"	"date"	"layer"	"tn..Data.values"	"tn..Data.value2"	"tn.remark.codes"	"tn.value.codes"	"tn.reporting.level"	"tn.reporting.method"	"tn.reporting.units"	"tn.analyte.method"	"tn.analyte.name"	"tn.unique.code"
"CB3.3C"	1991-10-02	"B"	0.680000	0.680000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-10-02	"S"	0.875000	0.875000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-10-15	"B"	0.617500	0.617500	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-10-15	"S"	0.550000	0.550000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-11-05	"B"	0.594500	0.594500	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-11-05	"S"	0.566500	0.566500	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-12-03	"B"	0.639550	0.639550	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-12-03	"S"	0.805000	0.805000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1992-01-07	"B"	0.562500	0.562500	" "	""	NA	""	""	""	""	""
"CB3.3C"	1992-01-07	"S"	1.103000	1.103000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1992-02-11	"B"	0.768000	0.768000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1992-02-11	"S"	0.840000	0.840000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1992-03-12	"B"	0.689000	0.689000	" "	""	NA	""	""	""	""	""
