"station"	"date"	"layer"	"secchi..Data.values"	"secchi..Data.value2"	"secchi.remark.codes"	"secchi.value.codes"	"secchi.reporting.level"	"secchi.reporting.method"	"secchi.reporting.units"	"secchi.analyte.method"	"secchi.analyte.name"	"secchi.unique.code"
"CB3.3C"	1991-09-17	"S"	1.20	1.20	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-10-02	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-10-02	"S"	1.20	1.20	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-10-15	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-10-15	"S"	1.00	1.00	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-11-05	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-11-05	"S"	1.60	1.60	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-12-03	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-12-03	"S"	2.00	2.00	" "	""	NA	""	""	""	""	""
"CB3.3C"	1992-01-07	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1992-01-07	"S"	1.20	1.20	" "	""	NA	""	""	""	""	""
"CB3.3C"	1992-02-11	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1992-02-11	"S"	1.50	1.50	" "	""	NA	""	""	""	""	""
"CB3.3C"	1992-03-12	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1992-03-12	"S"	0.70	0.70	" "	""	NA	""	""	""	""	""
"CB3.3C"	1992-03-31	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1992-03-31	"S"	0.80	0.80	" "	""	NA	""	""	""	""	""
"CB3.3C"	1992-04-15	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1992-04-15	"S"	1.80	1.80	" "	""	NA	""	""	""	""	""
"CB3.3C"	1992-04-28	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1992-04-28	"S"	1.00	1.00	" "	""	NA	""	""	""	""	""
"CB3.3C"	1992-05-12	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1992-05-12	"S"	0.50	0.50	" "	""	NA	""	""	""	""	""
"CB3.3C"	1992-05-27	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1992-05-27	"S"	1.60	1.60	" "	""	NA	""	""	""	""	""
"CB3.3C"	1992-06-09	"B"	NA	NA	" "	""	NA	""	""	""	""	""
